Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:42:40,4.8810,1.9906,6.1432,1.3164,54.90,55.49,769
0day00:42:50,4.8800,1.9904,6.1702,1.3219,55.15,55.72,774
0day00:43:00,4.8790,1.9904,6.1972,1.3274,55.39,55.95,773
0day00:43:10,4.8780,1.9901,6.2242,1.3329,55.63,56.19,777
0day00:43:20,4.8780,1.9899,6.2511,1.3385,55.87,56.42,778
0day00:43:30,4.8790,1.9902,6.2781,1.3440,56.11,56.65,780
0day00:43:40,4.8800,1.9900,6.3051,1.3495,56.35,56.89,782
0day00:43:50,4.8810,1.9902,6.3320,1.3551,56.59,57.12,779
0day00:44:00,4.8800,1.9895,6.3590,1.3606,56.83,57.35,777
0day00:44:10,4.8800,1.9904,6.3860,1.3661,57.07,57.59,781
0day00:44:20,4.8800,1.9901,6.4130,1.3716,57.32,57.82,781
0day00:44:30,4.8800,1.9904,6.4400,1.3772,57.56,58.05,779
0day00:44:40,4.8800,1.9900,6.4669,1.3827,57.80,58.28,783
0day00:44:50,4.8810,1.9904,6.4939,1.3882,58.04,58.52,780
0day00:45:00,4.8810,1.9901,6.5209,1.3938,58.28,58.75,780
0day00:45:10,4.8790,1.9908,6.5479,1.3993,58.52,58.98,783
0day00:45:20,4.8780,1.9903,6.5749,1.4048,58.76,59.22,782
0day00:45:30,4.8780,1.9898,6.6018,1.4103,59.00,59.45,779
0day00:45:40,4.8770,1.9900,6.6288,1.4159,59.24,59.68,781
0day00:45:50,4.8800,1.9901,6.6557,1.4214,59.49,59.92,780
0day00:46:00,4.8800,1.9902,6.6827,1.4269,59.73,60.15,782
0day00:46:10,4.8810,1.9901,6.7097,1.4325,59.97,60.38,788
0day00:46:20,4.8810,1.9903,6.7367,1.4380,60.21,60.61,788
0day00:46:30,4.8810,1.9900,6.7637,1.4435,60.45,60.85,791
0day00:46:40,4.8800,1.9900,6.7907,1.4490,60.69,61.08,791
0day00:46:50,4.8800,1.9901,6.8176,1.4546,60.93,61.31,794
0day00:47:00,4.8800,1.9903,6.8446,1.4601,61.17,61.55,798
0day00:47:10,4.8800,1.9901,6.8716,1.4656,61.41,61.78,799
